distinct_reactions,total_voter_comments,distinct_voter_comments,num_respondents,avg_distinct_votes,avg_votes,num_qfa_total,num_qfa_distinct_voters,qfa_question_upvotes,label
0.318181818,0.170454545,0.136363636,0.318181818,0.318181818,0.318181818,0.477272727,0.238636364,0.068181818,0.0
0.235294118,0.458823529,0.360784314,0.334640523,0.259840232,0.308351489,0.095424837,0.077124183,0.003921569,0.0
0.193548387,0.064516129,0.064516129,0.387096774,0.2228739,0.319648094,0.0,0.0,0.0,0.0
0.309278351,0.020618557,0.020618557,0.195876289,0.103298969,0.188247423,0.041237113,0.030927835,0.0,0.0
0.951807229,0.104417671,0.076305221,0.37751004,0.158500669,0.159036145,0.140562249,0.092369478,0.34939759,0.0
0.418181818,1.181818182,0.363636364,0.418181818,0.220779221,0.337662338,0.163636364,0.109090909,0.054545455,0.0
0.056818182,0.045454545,0.045454545,0.397727273,0.269385027,0.269385027,0.0,0.0,0.0,0.0
0.367346939,0.0,0.0,0.469387755,0.216836735,0.253826531,0.0,0.0,0.0,0.0
0.208333333,0.0,0.0,0.25,0.208333333,0.239583333,0.375,0.208333333,0.458333333,0.0
0.0,0.038961039,0.025974026,0.350649351,0.204906205,0.506493506,0.012987013,0.012987013,0.0,0.0
0.676300578,1.780346821,0.87283237,0.479768786,0.341040462,0.496584341,0.433526012,0.167630058,0.011560694,1.0
0.151515152,0.0,0.0,0.818181818,0.5,0.5,0.03030303,0.03030303,0.0,0.0
0.0,0.0,0.0,0.86440678,0.796610169,1.389830508,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.81122449,0.641581633,0.760841837,0.0,0.0,0.0,1.0
0.3125,0.0,0.0,0.708333333,0.325,0.891666667,0.0,0.0,0.0,0.0
0.15625,0.78125,0.3125,0.5,0.385416667,0.458333333,0.0,0.0,0.0,0.0
0.938271605,0.111111111,0.098765432,0.716049383,0.337213404,0.382716049,0.012345679,0.012345679,0.024691358,0.0
0.276923077,0.069230769,0.046153846,0.330769231,0.183566434,0.191958042,0.015384615,0.015384615,0.0,0.0
0.594594595,0.0,0.0,0.783783784,0.693693694,2.63963964,0.0,0.0,0.0,1.0
0.921875,0.1875,0.171875,0.609375,0.287202381,0.383928571,0.0,0.0,0.0,0.0
0.4,0.36,0.36,0.54,0.304,1.418666667,0.04,0.04,0.0,0.0
0.8,0.342857143,0.257142857,0.485714286,0.165306122,0.324489796,0.028571429,0.028571429,0.0,0.0
0.531914894,0.106382979,0.042553191,0.340425532,0.112929624,0.235679214,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.977272727,0.625,1.534090909,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.016129032,0.016129032,0.016129032,0.0,0.0,0.0,0.0
0.760869565,0.043478261,0.043478261,0.347826087,0.209145427,0.326836582,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.377777778,0.325925926,0.325925926,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.471830986,0.376760563,1.276408451,0.0,0.0,0.0,0.0
0.0,0.011235955,0.011235955,0.775280899,0.456928839,0.992509363,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.807692308,0.807692308,1.057692308,0.0,0.0,0.0,1.0
0.0,0.191489362,0.063829787,0.765957447,0.765957447,1.29787234,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.743589744,0.743589744,1.102564103,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.815789474,0.815789474,1.315789474,0.0,0.0,0.0,1.0
0.615384615,0.019230769,0.019230769,0.673076923,0.576923077,2.038461538,0.057692308,0.038461538,0.0,1.0
0.710526316,0.0,0.0,0.868421053,0.541666667,0.541666667,0.0,0.0,0.0,0.0
0.31875,0.0,0.0,0.43125,0.183333333,0.223958333,0.00625,0.00625,0.00625,0.0
0.710526316,0.0,0.0,0.605263158,0.342105263,0.862573099,0.026315789,0.026315789,0.0,0.0
0.0,0.0,0.0,0.54,0.313333333,0.44,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.69047619,0.595238095,1.654761905,0.0,0.0,0.0,0.0
0.355555556,0.022222222,0.022222222,0.511111111,0.37037037,0.518518519,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.545454545,0.515151515,0.515151515,0.0,0.0,0.0,0.0
0.869047619,0.095238095,0.047619048,0.357142857,0.10989011,0.142857143,0.023809524,0.011904762,0.0,0.0
0.244444444,0.0,0.0,1.0,0.785964912,0.870175439,0.177777778,0.111111111,0.022222222,1.0
0.0,0.0,0.0,0.410958904,0.261327713,0.750263435,0.01369863,0.01369863,0.0,0.0
0.0,0.057142857,0.057142857,1.0,1.0,3.0,0.0,0.0,0.0,1.0
